user, eer_local, threshold
u0080, 0.00000, 0.93091
u0081, 0.00000, 0.82077
u0082, 0.00000, 0.91005
u0083, 0.00000, 0.92510
u0084, 0.00000, 0.66106
u0085, 0.00000, 0.91041
u0086, 0.00000, 0.82377
u0087, 0.00000, 1.06722
u0088, 0.04381, 0.59357
u0089, 0.00000, 1.09227
u0090, 0.00000, 0.85942
u0091, 0.00000, 0.96505
u0092, 0.00000, 0.94095
u0093, 0.00000, 0.72918
u0094, 0.00000, 0.72024
u0095, 0.00000, 0.81013
u0096, 0.00000, 0.69984
u0097, 0.00000, 0.66155
u0098, 0.02381, 0.80586
u0099, 0.00000, 0.80048
u0100, 0.00000, 0.87245
u0101, 0.00000, 1.06544
u0102, 0.00000, 1.21008
u0103, 0.00000, 1.00235
u0104, 0.00000, 1.21151
u0105, 0.00000, 1.16998
u0106, 0.00000, 0.67263
u0107, 0.00000, 1.06906
u0108, 0.00000, 0.92488
u0109, 0.00000, 0.86987
u0110, 0.00000, 0.66498
u0111, 0.00000, 0.85699
u0112, 0.00000, 1.06392
u0113, 0.00000, 0.67021
u0114, 0.00000, 0.76665
u0115, 0.00000, 0.82510
u0116, 0.00000, 0.72347
u0117, 0.00000, 0.84610
u0118, 0.00000, 1.17001
u0119, 0.02381, 0.65508
u0120, 0.00000, 0.78062
u0121, 0.00000, 1.00266
u0122, 0.00000, 1.24234
u0123, 0.00000, 0.87912
u0124, 0.00000, 0.89566
u0125, 0.00000, 0.80213
u0126, 0.00000, 0.77572
u0127, 0.00000, 0.71075
u0128, 0.00000, 0.79338
u0129, 0.00000, 1.20042
u0130, 0.00000, 1.00959
u0131, 0.00000, 1.36002
u0132, 0.00000, 1.30012
u0133, 0.06381, 0.79558
u0134, 0.00000, 0.91251
u0135, 0.00000, 0.98001
u0136, 0.00000, 0.91774
u0137, 0.00000, 0.74615
u0138, 0.00000, 1.33417
u0139, 0.00000, 1.03609
u0140, 0.00000, 0.89863
u0141, 0.00000, 0.83612
u0142, 0.02381, 0.79067
u0143, 0.00000, 1.10490
u0144, 0.04381, 0.81527
u0145, 0.00000, 0.80854
u0146, 0.00000, 0.91262
u0147, 0.00000, 1.03099
u0148, 0.00000, 0.77196
u0149, 0.00000, 0.98096
u0150, 0.00000, 1.01258
u0151, 0.00000, 0.97307
u0152, 0.00000, 0.74950
u0153, 0.00000, 0.93287
u0154, 0.00000, 0.78415
u0155, 0.00000, 0.99058
u0156, 0.00000, 0.91188
u0157, 0.00000, 1.04087
u0158, 0.00000, 0.85023
u0159, 0.00000, 0.93113
u0160, 0.00000, 0.89551
u0161, 0.00000, 0.96852
u0162, 0.00000, 1.14684
u0163, 0.00000, 1.06095
u0164, 0.00000, 0.80134
u0165, 0.00000, 1.00226
u0166, 0.00000, 0.76809
u0167, 0.00000, 0.85552
u0168, 0.00000, 0.91613
u0169, 0.00000, 1.05303
u0170, 0.00000, 0.89947
u0171, 0.00000, 1.18795
u0172, 0.00000, 1.13352
u0173, 0.00000, 1.34818
u0174, 0.00000, 1.01515
u0175, 0.06381, 1.02137
u0176, 0.00000, 1.01045
u0177, 0.00000, 1.17997
u0178, 0.00000, 1.11079
u0179, 0.00000, 0.69133
u0180, 0.00000, 1.12424
u0181, 0.00000, 0.89759
u0182, 0.00000, 0.97554
u0183, 0.00000, 0.87511
u0184, 0.00000, 0.80994
u0185, 0.00000, 0.96024
u0186, 0.00000, 0.81836
u0187, 0.00000, 0.77635
u0188, 0.00000, 0.98669
u0189, 0.00000, 0.67424
u0190, 0.00000, 1.21500
u0191, 0.00000, 0.97936
u0192, 0.00000, 0.76256
u0193, 0.00000, 0.92439
u0194, 0.00000, 0.91002
u0195, 0.00000, 0.90612
u0196, 0.00000, 0.87047
u0197, 0.00000, 1.39839
u0198, 0.00000, 1.18820
u0199, 0.00000, 1.00984
u0200, 0.00000, 1.10166
u0201, 0.00000, 0.82171
u0202, 0.00000, 0.94148
u0203, 0.00000, 0.70679
u0204, 0.00000, 1.14611
u0205, 0.00000, 0.80863
u0206, 0.00000, 1.28640
u0207, 0.00000, 1.17550
u0208, 0.00000, 1.23623
u0209, 0.04381, 0.86625
u0210, 0.00000, 1.01433
u0211, 0.00000, 1.03087
u0212, 0.00000, 0.74784
u0213, 0.00000, 0.89839
u0214, 0.00000, 0.99365
u0215, 0.00000, 1.00581
u0216, 0.00000, 0.75945
u0217, 0.00000, 0.90347
u0218, 0.00000, 1.09954
u0219, 0.00000, 1.11683
u0220, 0.00000, 1.05156
u0221, 0.00000, 0.95540
u0222, 0.00000, 0.88728
u0223, 0.00000, 0.83414
u0224, 0.00000, 0.83815
u0225, 0.00000, 1.25627
u0226, 0.00000, 1.14309
u0227, 0.00000, 0.89167
u0228, 0.00000, 0.89660
u0229, 0.00000, 0.98264
u0230, 0.00000, 0.96442
u0231, 0.00000, 0.89763
u0232, 0.00000, 0.83557
u0233, 0.00000, 1.45468
u0234, 0.00000, 1.54102
u0235, 0.00000, 0.97700
u0236, 0.00000, 0.96204
u0237, 0.00000, 0.95493
u0238, 0.00000, 1.10683
u0239, 0.00000, 1.57901
u0240, 0.00000, 0.93474
u0241, 0.00000, 1.19933
u0242, 0.00000, 1.14894
u0243, 0.00000, 1.00534
u0244, 0.00000, 1.09153
u0245, 0.00000, 1.08817
u0246, 0.00000, 0.89254
u0247, 0.00000, 1.01430
u0248, 0.00000, 0.71546
u0249, 0.00000, 0.90225
u0250, 0.00000, 1.11920
u0251, 0.00000, 0.74121
u0252, 0.00000, 0.85493
u0253, 0.00000, 0.82774
u0254, 0.00000, 0.99264
u0255, 0.00000, 1.24648
u0256, 0.00000, 0.89798
u0257, 0.00000, 1.12620
u0258, 0.00000, 1.15331
u0259, 0.00000, 0.74526
u0260, 0.00000, 0.70291
u0261, 0.08333, 0.88289
u0262, 0.00000, 1.01534
u0263, 0.00000, 0.75687
u0264, 0.12500, 0.82186
u0265, 0.00000, 0.93245
u0266, 0.00000, 0.76536
u0267, 0.00000, 0.76376
u0268, 0.00000, 1.11345
u0269, 0.00000, 0.96457
u0270, 0.00000, 1.09988
u0271, 0.00000, 1.34837
u0272, 0.00000, 1.15127
u0273, 0.00000, 1.04107
u0274, 0.00000, 1.17553
u0275, 0.00000, 1.13401
u0276, 0.00000, 0.85203
u0277, 0.00000, 1.05998
u0278, 0.00000, 1.04278
u0279, 0.00000, 1.58705
u0280, 0.00000, 1.32251
u0281, 0.00000, 1.35248
u0282, 0.00000, 1.24190
u0283, 0.00000, 1.03516
u0284, 0.00000, 1.01782
u0285, 0.00000, 1.00394
u0286, 0.00000, 0.93104
u0287, 0.00000, 0.94163
u0288, 0.00000, 1.00390
u0289, 0.00000, 0.97645
u0290, 0.00000, 1.32782
u0291, 0.00000, 1.26970
u0292, 0.00000, 1.31250
u0293, 0.00000, 0.97267
u0294, 0.00000, 1.37684
u0295, 0.00000, 0.75020
u0296, 0.00000, 0.79311
u0297, 0.00000, 0.96238
u0298, 0.00000, 1.36005
u0299, 0.00000, 0.97679
u0300, 0.00000, 1.66489
u0301, 0.00000, 0.82994
u0302, 0.00000, 0.86586
u0303, 0.00000, 1.45364
u0304, 0.00000, 1.43209
u0305, 0.00000, 1.70969
u0306, 0.00000, 0.84700
u0307, 0.00000, 1.00332
u0308, 0.04167, 0.91768
u0309, 0.00000, 1.07540
u0310, 0.00000, 1.13152
u0311, 0.00000, 1.01074
u0312, 0.00000, 0.87330
u0313, 0.00000, 0.94867
u0314, 0.29167, 0.90969
u0315, 0.00000, 0.94395
u0316, 0.00000, 0.83291
u0317, 0.00000, 0.97746
u0318, 0.00000, 1.45933
u0319, 0.00000, 1.05473
u0320, 0.00000, 1.41019
u0321, 0.00000, 1.10954
u0322, 0.00000, 0.89304
u0323, 0.00000, 1.12875
u0324, 0.00000, 1.23790
u0325, 0.00000, 0.98220
u0326, 0.08333, 1.18273
u0327, 0.00000, 1.16115
u0328, 0.00000, 1.09866
u0329, 0.00000, 0.97215
u0330, 0.00000, 1.19146
u0331, 0.00000, 1.11589
u0332, 0.00000, 0.95509
u0333, 0.00000, 1.17468
u0334, 0.00000, 1.78952
u0335, 0.00000, 1.19484
u0336, 0.29167, 1.08251
u0337, 0.00000, 1.00442
u0338, 0.00000, 1.00901
u0339, 0.00000, 0.82812
u0340, 0.00000, 1.16629
u0341, 0.00000, 0.96626
u0342, 0.00000, 0.96845
u0343, 0.00000, 1.16185
u0344, 0.00000, 1.07183
u0345, 0.00000, 1.08713
u0346, 0.00000, 0.99233
u0347, 0.00000, 1.02795
u0348, 0.00000, 1.04712
u0349, 0.00000, 1.02045
u0350, 0.00000, 1.08220
u0351, 0.00000, 1.06839
u0352, 0.00000, 1.06385
u0353, 0.00000, 1.42567
u0354, 0.00000, 0.95903
u0355, 0.00000, 1.05437
u0356, 0.00000, 0.84476
u0357, 0.00000, 0.90213
u0358, 0.00000, 1.04114
u0359, 0.00000, 1.07599
u0360, 0.00000, 0.88722
u0361, 0.00000, 0.86775
u0362, 0.00000, 0.84887
u0363, 0.00000, 1.16992
u0364, 0.00000, 0.87734
u0365, 0.00000, 1.30470
u0366, 0.00000, 1.20368
u0367, 0.00000, 1.34758
u0368, 0.00000, 0.93112
u0369, 0.00000, 0.79650
u0370, 0.00000, 1.24297
u0371, 0.00000, 0.97151
u0372, 0.00000, 0.85482
u0373, 0.08333, 0.87693
u0374, 0.00000, 0.90608
u0375, 0.00000, 1.18657
u0376, 0.00000, 0.77038
u0377, 0.08333, 0.88625
u0378, 0.00000, 0.86340
u0379, 0.00000, 1.12696
u0380, 0.08333, 1.03022
u0381, 0.00000, 1.13934
u0382, 0.00000, 1.10459
u0383, 0.00000, 1.08346
u0384, 0.00000, 0.87422
u0385, 0.00000, 0.78542
u0386, 0.00000, 0.88234
u0387, 0.00000, 1.51392
u0388, 0.00000, 1.08294
u0389, 0.00000, 0.66107
u0390, 0.12500, 0.88563
u0391, 0.00000, 1.01267
u0392, 0.00000, 0.95824
u0393, 0.00000, 1.09778
u0394, 0.00000, 1.14838
u0395, 0.00000, 1.13452
u0396, 0.00000, 1.22313
u0397, 0.00000, 0.92327
u0398, 0.00000, 1.00890
u0399, 0.00000, 1.35987
u0400, 0.00000, 1.00303
u0401, 0.00000, 1.05376
u0402, 0.00000, 0.95657
u0403, 0.00000, 0.80580
u0404, 0.00000, 0.79460
u0405, 0.00000, 0.93855
u0406, 0.00000, 1.19837
u0407, 0.00000, 0.80309
u0408, 0.00000, 0.98384
u0409, 0.00000, 1.33335
u0410, 0.00000, 1.04575
u0411, 0.00000, 1.14262
u0412, 0.00000, 1.44550
u0413, 0.00000, 1.05570
u0414, 0.00000, 0.95059
u0415, 0.00000, 0.91219
u0416, 0.00000, 1.22048
u0417, 0.00000, 1.09151
u0418, 0.00000, 0.96840
u0419, 0.00000, 1.06199
u0420, 0.00000, 1.27732
u0421, 0.00000, 0.91539
u0422, 0.00000, 0.82169
u0423, 0.00000, 0.94407
u0424, 0.00000, 0.89034
u0425, 0.00000, 1.15513
u0426, 0.00000, 0.93933
u0427, 0.00000, 1.07837
u0428, 0.00000, 1.23272
u0429, 0.00000, 1.21698
u0430, 0.00000, 1.14607
u0431, 0.00000, 0.79677
u0432, 0.00000, 1.14526
u0433, 0.00000, 1.31564
u0434, 0.00000, 0.86869
u0435, 0.00000, 1.32435
u0436, 0.00000, 0.87350
u0437, 0.00000, 0.67577
u0438, 0.00000, 0.66719
u0439, 0.00000, 1.06943
u0440, 0.00000, 0.92012
u0441, 0.00000, 0.80864
u0442, 0.00000, 0.95744
u0443, 0.00000, 1.23624
u0444, 0.00000, 0.88367
u0445, 0.00000, 0.85857
u0446, 0.00000, 0.89265
u0447, 0.00000, 0.99103
u0448, 0.00000, 0.87426
u0449, 0.00000, 0.95186
u0450, 0.00000, 1.23145
u0451, 0.00000, 0.71472
u0452, 0.00000, 0.90541
u0453, 0.00000, 1.29056
u0454, 0.00000, 1.44537
u0455, 0.00000, 0.91524
u0456, 0.00000, 0.91593
u0457, 0.00000, 0.89871
u0458, 0.00000, 1.13642
u0459, 0.00000, 0.95108
u0460, 0.00000, 0.97437
u0461, 0.00000, 1.05155
u0462, 0.00000, 1.13318
u0463, 0.00000, 0.79698
u0464, 0.00000, 0.73580
u0465, 0.00000, 0.71227
u0466, 0.00000, 1.15877
u0467, 0.00000, 0.73526
u0468, 0.00000, 0.79200
u0469, 0.00000, 0.84076
u0470, 0.00000, 1.11236
u0471, 0.00000, 0.83371
u0472, 0.00000, 0.91826
u0473, 0.00000, 1.23999
u0474, 0.00000, 1.06675
u0475, 0.00000, 1.50095
u0476, 0.00000, 1.05035
u0477, 0.00000, 0.98030
u0478, 0.00000, 1.40418
u0479, 0.00000, 1.23997
u0480, 0.00000, 0.95286
u0481, 0.00000, 1.17443
u0482, 0.00000, 0.97309
u0483, 0.00000, 0.75174
u0484, 0.00000, 0.89457
u0485, 0.00000, 0.91234
u0486, 0.00000, 1.10449
u0487, 0.00000, 1.16931
u0488, 0.00000, 0.70759
u0489, 0.00000, 0.76055
u0490, 0.00000, 1.35027
u0491, 0.00000, 1.25909
u0492, 0.00000, 1.12293
u0493, 0.00000, 1.19208
u0494, 0.00000, 1.40579
u0495, 0.00000, 1.49693
u0496, 0.00000, 1.34658
u0497, 0.00000, 0.86763
u0498, 0.00000, 0.82181
u1009, 0.03056, 1.33642
u1010, 0.21389, 0.83976
u1011, 0.00000, 0.81172
u1012, 0.10556, 0.70387
u1013, 0.12222, 0.74156
u1014, 0.24167, 0.79925
u1015, 0.19722, 0.74264
u1016, 0.27778, 1.04502
u1017, 0.06111, 0.82462
u1018, 0.19722, 0.57849
u1019, 0.22778, 0.79888
u1020, 0.22778, 0.93037
u1021, 0.11944, 0.88837
u1022, 0.03056, 0.75502
u1023, 0.09167, 0.94019
u1024, 0.10556, 0.88738
u1025, 0.29444, 0.82925
u1026, 0.27222, 0.77887
u1027, 0.01667, 0.94032
u1028, 0.19722, 0.79170
u1029, 0.25833, 0.83172
u1030, 0.26111, 0.95483
u1031, 0.19722, 0.83603
u1032, 0.07500, 0.80473
u1033, 0.27222, 0.64171
u1034, 0.15278, 0.78806
u1035, 0.10556, 0.90366
u1036, 0.15000, 0.85190
u1037, 0.04444, 0.89126
u1038, 0.26111, 0.93371
u1039, 0.00000, 0.96953
u1040, 0.00000, 0.65709
u1041, 0.00000, 1.17453
u1042, 0.00000, 1.10649
u1043, 0.00000, 0.94559
u1044, 0.00000, 0.59608
u1045, 0.00000, 0.83840
u1046, 0.00000, 0.84991
u1047, 0.00000, 1.17251
u1048, 0.00000, 0.94981
u1049, 0.00000, 0.84629
u1050, 0.00000, 1.27381
u1051, 0.00000, 1.23164
u1052, 0.00000, 0.83110
u1053, 0.00000, 0.99267
u1054, 0.00000, 1.05420
u1055, 0.00000, 1.08789
u1056, 0.00000, 0.75679
u1057, 0.00000, 1.29017
u1058, 0.00000, 1.10952
u1059, 0.00000, 1.02691
u1060, 0.00000, 0.97819
u1061, 0.00000, 1.21065
u1062, 0.00000, 1.22744
u1063, 0.00000, 1.24385
u1064, 0.00000, 0.83864
u1065, 0.00000, 1.10419
u1066, 0.00000, 0.89839
u1067, 0.00000, 0.70207
u1068, 0.00000, 0.81487
u1069, 0.00000, 1.27455
u1070, 0.00000, 0.71733
u1071, 0.00000, 0.72707
u1072, 0.00000, 0.92987
u1073, 0.00000, 0.94091
u1074, 0.00000, 1.19855
u1075, 0.00000, 1.07058
u1076, 0.00000, 1.07663
u1077, 0.00000, 1.48552
u1078, 0.00000, 0.68640
u1079, 0.00000, 0.79303
u1080, 0.20833, 0.81602
u1081, 0.00000, 0.76809
u1082, 0.00000, 0.94121
u1083, 0.00000, 0.86468
u1084, 0.00000, 0.63717
